date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:18:06	84646/84646	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-14aa6%22	https://deanattali.com/img/big-imgs/tanzania.jpeg	deanattali.com/img/big-imgs/tanzania.jpg	(from https://deanattali.com/)
04:18:07	150065/150065	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-24a31%22	https://deanattali.com/img/big-imgs/vietnam-beach.jpg	deanattali.com/img/big-imgs/vietnam-beach.jpg	(from https://deanattali.com/)
04:18:10	139920/139920	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-22290%22	https://deanattali.com/img/big-imgs/vietnam-climb.jpeg	deanattali.com/img/big-imgs/vietnam-climb.jpg	(from https://deanattali.com/)
04:18:10	120623/120623	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-1d72f%22	https://deanattali.com/img/big-imgs/vietnam-climb2.jpeg	deanattali.com/img/big-imgs/vietnam-climb2.jpg	(from https://deanattali.com/)
04:18:12	126769/126769	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-1ef31%22	https://deanattali.com/img/big-imgs/vietnam-dunes.jpeg	deanattali.com/img/big-imgs/vietnam-dunes.jpg	(from https://deanattali.com/)
04:18:12	126859/126859	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-1ef8b%22	https://deanattali.com/img/big-imgs/vietnam-dunes2.jpeg	deanattali.com/img/big-imgs/vietnam-dunes2.jpg	(from https://deanattali.com/)
04:18:14	175007/175007	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-2ab9f%22	https://deanattali.com/img/big-imgs/vietnam-fruits.jpeg	deanattali.com/img/big-imgs/vietnam-fruits.jpg	(from https://deanattali.com/)
04:18:14	186353/186353	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-2d7f1%22	https://deanattali.com/img/big-imgs/vietnam-hat.jpeg	deanattali.com/img/big-imgs/vietnam-hat.jpg	(from https://deanattali.com/)
04:18:15	90338/90338	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-160e2%22	https://deanattali.com/img/big-imgs/vietnam-jump.jpeg	deanattali.com/img/big-imgs/vietnam-jump.jpg	(from https://deanattali.com/)
04:18:16	349298/349298	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-55472%22	https://deanattali.com/img/big-imgs/vietnam-ricefield.jpeg	deanattali.com/img/big-imgs/vietnam-ricefield.jpg	(from https://deanattali.com/)
04:18:18	372991/372991	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-5b0ff%22	https://deanattali.com/img/big-imgs/vietnam-walk.jpeg	deanattali.com/img/big-imgs/vietnam-walk.jpg	(from https://deanattali.com/)
04:18:18	257067/257067	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-3ec2b%22	https://deanattali.com/img/big-imgs/vietnam-scooter.jpeg	deanattali.com/img/big-imgs/vietnam-scooter.jpg	(from https://deanattali.com/)
04:18:20	156437/156437	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-26315%22	https://deanattali.com/img/big-imgs/california-skydive.jpeg	deanattali.com/img/big-imgs/california-skydive.jpg	(from https://deanattali.com/)
04:18:21	135680/135680	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-21200%22	https://deanattali.com/img/big-imgs/california-surf.jpeg	deanattali.com/img/big-imgs/california-surf.jpg	(from https://deanattali.com/)
04:18:22	206340/206340	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-32604%22	https://deanattali.com/img/big-imgs/california-surf2.jpeg	deanattali.com/img/big-imgs/california-surf2.jpg	(from https://deanattali.com/)
04:18:24	159497/159497	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-26f09%22	https://deanattali.com/img/big-imgs/california-surf3.jpeg	deanattali.com/img/big-imgs/california-surf3.jpg	(from https://deanattali.com/)
04:18:24	232275/232275	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-38b53%22	https://deanattali.com/img/big-imgs/costa-rica.jpeg	deanattali.com/img/big-imgs/costa-rica.jpg	(from https://deanattali.com/)
04:18:26	279197/279197	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-4429d%22	https://deanattali.com/img/big-imgs/rio-hanggliding.JPG	deanattali.com/img/big-imgs/rio-hanggliding.jpg	(from https://deanattali.com/)
04:18:28	209844/209844	---M--	200	added ('OK')	image/jpeg	etag:%225bce18ac-333b4%22	https://deanattali.com/img/big-imgs/hawaii-turtles.jpg	deanattali.com/img/big-imgs/hawaii-turtles.jpg	(from https://deanattali.com/)
04:18:28	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:28%20GMT	https://deanattali.com/popular	deanattali.com/popular	(from https://deanattali.com/)
04:18:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:29%20GMT	http://deanattali.com/popular/	deanattali.com/popular/index.html	(from https://deanattali.com/)
